id,machine_type,facility_zone,shift,sensor_model,maintenance_strategy,load_pct,rpm,power_kw,voltage_v,power_factor,vibration_mm_s,oil_pressure_bar,coolant_temp_c,bearing_temp_c,operating_hours,days_since_maintenance,anomaly_count_7d,sensor_uptime_pct,machine_state
0,conveyor,processing,day,S3,predictive,57.7,977.7,47.76,401.52,0.9657,2.321,4.894,67.43,73.64,6893.7,40.65,0,99.772,1
1,compressor,processing,day,S2,preventive,79.92,3298.5,134.12,394.03,0.9261,2.205,5.894,94.72,101.38,15530.2,81.13,2,98.711,1
2,compressor,assembly,night,S4,reactive,67.81,3123.4,114.17,401.32,0.9693,2.473,,85.33,91.21,20672.9,61.63,0,99.019,1
3,pump,assembly,day,S1,reactive,59.0,2045.8,47.43,397.42,0.9217,2.953,5.314,76.88,82.2,19993.4,63.72,1,98.875,1
4,conveyor,utilities,night,S3,preventive,56.25,921.2,38.82,412.98,0.8887,2.041,5.21,83.76,90.59,14558.4,25.68,0,98.588,1
5,conveyor,utilities,day,S1,preventive,53.85,898.7,42.77,386.17,0.8459,2.153,4.969,83.24,96.43,8463.5,39.74,1,98.302,1
6,pump,packaging,day,S1,predictive,59.33,2091.5,45.53,390.43,0.8285,2.618,5.771,74.68,82.25,13258.7,65.32,2,98.13,1
7,conveyor,packaging,night,S4,reactive,30.69,706.2,24.39,411.41,0.9141,2.048,4.91,63.87,80.97,4316.4,72.8,0,,1
8,mixer,cold_storage,evening,,preventive,80.7,1727.6,128.65,402.6,0.8798,3.755,4.596,85.27,94.3,69129.7,21.4,0,99.218,3
9,pump,processing,day,S4,reactive,71.44,2328.6,60.47,386.84,0.9329,3.277,4.908,106.36,103.22,11597.5,104.62,1,98.085,2
10,pump,cold_storage,day,S2,reactive,58.54,2068.5,42.42,409.82,0.9295,2.36,5.499,69.89,82.71,4307.6,95.85,0,98.674,1
11,turbine,utilities,day,S4,predictive,69.78,5235.7,256.2,403.21,0.8905,3.015,5.663,95.38,103.21,18112.3,50.51,0,100.0,1
12,mixer,packaging,day,S3,preventive,63.39,1524.6,109.35,403.02,0.9108,3.472,4.505,88.03,99.04,27503.5,79.65,1,99.117,2
13,pump,processing,day,S3,preventive,75.09,2181.5,52.75,388.68,0.9241,1.723,5.692,79.24,87.12,9860.6,34.63,0,99.306,1
14,mixer,processing,day,S2,reactive,65.2,1481.3,80.46,402.47,0.9151,2.411,5.09,73.89,89.87,12233.0,86.9,1,98.613,1
15,mixer,cold_storage,evening,S3,preventive,78.42,1453.3,108.11,397.78,0.9698,1.727,5.141,79.38,85.59,6899.5,5.58,0,98.813,1
16,turbine,assembly,night,S3,predictive,62.07,5222.7,203.97,403.28,0.8974,3.899,5.588,87.84,93.05,32148.8,66.99,3,98.14,1
17,conveyor,assembly,day,S3,predictive,51.62,1014.0,46.23,394.34,0.9386,2.439,4.743,78.54,84.56,7804.2,35.39,1,98.452,1
18,turbine,packaging,day,S1,preventive,72.09,5726.2,251.94,387.95,0.9085,2.764,5.22,86.31,94.57,28308.0,63.33,0,98.545,1
19,compressor,assembly,day,S4,reactive,81.62,3303.0,121.03,383.51,0.933,2.744,6.68,95.92,100.74,10329.0,43.55,1,99.598,2
20,mixer,assembly,evening,S3,predictive,49.52,1405.1,73.23,389.55,0.9714,1.936,6.275,85.96,93.04,7391.1,22.0,0,99.597,1
21,conveyor,processing,night,S3,preventive,59.62,1027.8,51.26,398.05,0.9192,2.922,4.578,85.65,94.91,6387.0,151.17,1,98.503,1
22,pump,packaging,night,S3,reactive,73.6,2072.9,60.23,392.93,0.9317,2.048,5.969,81.49,88.42,17647.7,24.11,0,99.778,1
23,pump,cold_storage,day,S3,preventive,77.64,2429.4,65.14,387.06,0.9566,2.423,5.662,82.94,93.1,19639.7,3.6,0,99.131,1
24,pump,cold_storage,day,S1,preventive,69.08,2262.0,61.29,378.84,0.939,2.196,4.93,86.03,95.54,16435.1,41.68,0,98.62,1
25,pump,cold_storage,night,S3,preventive,80.25,2536.2,73.33,404.71,0.9277,2.165,5.282,81.49,89.89,6501.7,15.14,1,99.806,2
26,compressor,processing,night,S2,preventive,63.88,2916.3,77.35,387.71,0.916,1.6,6.113,82.74,87.2,12343.2,43.24,0,99.421,1
27,compressor,cold_storage,day,S3,predictive,57.57,2549.0,75.35,396.88,0.9962,2.144,5.765,77.27,85.34,3206.3,25.5,1,99.458,1
28,pump,packaging,day,S3,preventive,61.25,2013.3,44.62,402.58,0.9234,2.815,4.76,76.42,81.49,6972.8,70.3,0,99.262,1
29,turbine,assembly,day,S1,preventive,65.43,4766.5,206.24,402.64,0.8879,2.384,5.679,83.0,92.1,28273.2,48.89,0,100.0,1
30,mixer,assembly,day,S1,preventive,63.84,1250.2,83.79,374.3,0.8801,3.156,5.12,76.43,90.12,18090.5,80.97,0,98.542,2
31,compressor,processing,night,S2,predictive,67.17,3043.4,105.7,397.99,0.9266,2.053,5.489,79.22,83.36,8659.1,11.11,0,99.315,1
32,mixer,cold_storage,evening,S4,preventive,52.28,1393.6,83.34,397.09,0.9099,2.426,5.515,76.17,86.69,15169.3,82.89,0,99.549,2
33,conveyor,packaging,day,S2,preventive,60.34,907.4,49.43,413.48,0.9132,3.27,4.396,70.66,82.02,10274.1,124.2,0,99.063,1
34,conveyor,assembly,night,S2,reactive,39.81,706.7,28.56,403.68,0.8997,2.931,4.664,74.79,84.93,8132.0,108.18,0,98.208,1
35,turbine,cold_storage,evening,S2,predictive,84.1,5404.5,286.87,398.78,0.9318,2.839,6.304,76.76,88.9,30580.2,14.41,1,98.641,1
36,compressor,assembly,night,S3,predictive,46.51,2521.4,66.36,389.54,0.9116,2.782,6.607,72.81,82.42,22489.2,94.79,0,99.488,1
37,pump,cold_storage,day,S1,preventive,58.07,2092.1,49.5,402.2,0.9041,,4.304,75.04,83.41,10518.9,117.78,3,98.028,2
38,pump,utilities,evening,S2,preventive,77.66,2497.5,77.64,403.84,0.9145,3.621,4.183,91.09,100.92,15296.8,12.61,1,99.027,2
39,compressor,assembly,night,S4,predictive,93.84,3609.1,146.49,407.11,0.9168,3.071,5.577,88.47,97.12,20158.7,37.21,0,98.217,1
40,conveyor,utilities,day,S3,preventive,49.43,896.1,48.9,402.28,0.8904,5.177,4.737,84.6,105.77,31092.0,58.79,0,99.342,2
41,mixer,packaging,night,S3,reactive,50.7,1235.3,69.03,399.8,0.9021,3.423,5.34,83.25,108.03,43011.4,27.66,1,99.411,2
42,turbine,assembly,night,S3,preventive,38.35,4224.9,132.49,387.59,0.8796,2.651,6.299,67.56,80.98,31063.1,52.94,0,98.958,1
43,conveyor,processing,day,,predictive,44.98,1013.4,41.18,384.69,0.8853,3.494,4.333,84.41,91.26,11450.7,59.48,0,98.394,1
44,conveyor,cold_storage,day,S2,predictive,60.47,1026.3,47.65,390.6,0.954,1.753,5.61,72.41,,10553.4,27.78,0,99.844,1
45,compressor,utilities,evening,S3,predictive,80.62,3125.4,96.49,389.8,0.9478,3.116,5.172,89.81,102.28,18397.2,28.76,1,98.021,1
46,mixer,assembly,day,S3,preventive,83.72,1585.1,134.62,392.49,0.8865,2.639,5.0,85.81,94.24,19460.6,28.26,0,98.428,1
47,pump,processing,day,S4,preventive,31.79,1698.7,20.06,391.31,0.8898,3.016,5.17,63.54,65.16,10399.4,90.85,1,99.894,1
48,conveyor,packaging,day,S2,predictive,37.59,733.9,26.7,395.23,0.934,1.925,4.803,76.25,84.06,19617.8,15.75,0,99.534,1
49,compressor,processing,night,S2,preventive,59.86,2884.2,84.24,394.6,0.963,2.174,6.09,80.63,92.13,4454.1,55.89,0,100.0,1
50,conveyor,packaging,day,S2,preventive,75.84,1137.3,66.8,406.43,0.9297,3.299,4.673,88.95,96.93,7203.0,69.88,0,99.174,1
51,conveyor,packaging,day,S2,predictive,34.27,742.1,24.98,408.4,0.8863,2.152,5.402,72.88,84.97,16961.6,21.27,0,99.26,1
52,compressor,utilities,day,S1,preventive,63.44,2733.7,92.8,380.86,0.9205,2.369,5.377,77.54,85.51,16304.7,39.43,0,98.088,1
53,pump,packaging,evening,S2,preventive,57.96,1821.2,36.99,421.69,0.8868,3.158,4.492,84.38,96.09,4917.8,130.38,1,95.393,2
54,conveyor,processing,night,S3,reactive,71.65,1060.2,58.97,396.36,0.9091,2.936,4.997,90.9,101.51,11190.4,22.59,1,99.312,2
55,compressor,utilities,evening,S2,preventive,62.53,2851.2,92.33,392.93,0.9263,2.373,5.141,81.65,90.27,9865.2,41.8,0,99.084,2
56,compressor,cold_storage,day,S2,preventive,83.27,3331.8,136.49,387.8,0.8744,2.714,5.571,,94.89,10168.5,57.23,1,100.0,2
57,conveyor,processing,day,S1,predictive,49.13,947.9,37.42,404.28,0.9031,2.055,4.589,74.87,84.81,27222.2,12.94,0,97.63,1
58,pump,packaging,night,S3,predictive,51.07,1762.5,35.07,404.13,0.9132,2.344,5.604,76.44,84.46,27271.0,8.06,0,98.729,1
59,turbine,utilities,evening,S1,predictive,79.85,5862.3,266.57,400.38,0.9435,3.703,6.794,91.54,107.26,23322.5,57.33,2,99.572,3
60,conveyor,assembly,day,S4,reactive,46.9,868.6,37.98,393.15,0.8749,2.619,4.886,82.47,87.99,7908.9,116.9,1,99.119,2
61,conveyor,utilities,evening,S2,reactive,34.13,827.2,31.14,414.38,0.8905,3.139,4.866,66.52,78.85,9320.4,73.38,0,99.43,1
62,compressor,assembly,day,S3,preventive,84.98,3175.9,154.85,398.1,0.9015,2.604,5.202,94.19,103.26,9550.9,6.01,1,100.0,1
63,pump,processing,evening,S2,preventive,73.9,2261.9,64.45,391.04,0.9348,2.761,5.101,85.19,90.51,21834.6,27.69,0,99.531,1
64,pump,cold_storage,day,S3,preventive,52.1,1991.2,43.15,398.07,0.9754,1.579,5.719,87.81,88.58,18844.2,22.93,1,98.949,1
65,conveyor,processing,evening,S2,preventive,73.6,1109.6,64.55,392.9,0.8811,3.008,5.255,89.36,102.52,16089.8,110.61,2,98.032,2
66,turbine,cold_storage,day,S1,reactive,90.29,5682.6,268.58,398.11,0.8697,3.197,5.604,91.97,104.0,13384.5,58.26,1,99.403,2
67,conveyor,utilities,evening,S1,predictive,53.92,931.6,47.36,394.28,0.9675,2.154,5.781,80.33,87.16,21972.9,17.96,0,98.915,1
68,mixer,utilities,evening,S3,predictive,64.44,1373.9,88.22,396.63,0.9909,2.364,5.609,84.16,94.06,13929.6,21.51,0,99.463,1
69,pump,packaging,night,S3,predictive,79.68,2390.3,70.4,403.9,0.9015,3.019,5.108,84.86,100.04,18265.3,60.71,1,99.095,2
70,conveyor,processing,evening,S2,reactive,60.26,1050.8,53.53,382.29,0.9008,1.986,4.971,80.67,87.99,15467.8,49.54,0,100.0,1
71,conveyor,packaging,night,S4,reactive,48.81,796.0,38.0,392.86,0.947,3.535,4.03,85.45,98.42,23773.3,131.68,0,98.888,3
72,conveyor,utilities,night,S3,reactive,86.26,1163.7,81.32,381.61,0.8607,2.675,4.564,91.08,98.61,22490.8,31.59,2,99.008,2
73,turbine,assembly,evening,S2,reactive,56.01,4559.8,167.33,415.41,0.9264,1.947,6.267,69.19,82.56,12793.9,25.8,0,98.756,1
